ID_,ACCOUNT_,MAPPING_RULESET_,NUMBER_
c42d2752-ba76-11e4-8dfc-aa07a5b093db,d2a5a55c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0660
c42d2874-ba76-11e4-8dfc-aa07a5b093db,d2a59404-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0670
1599c7a8-ba77-11e4-8dfc-aa07a5b093db,d2a59738-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0675
1599ca6e-ba77-11e4-8dfc-aa07a5b093db,d2a598a0-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0680
1599cbd6-ba77-11e4-8dfc-aa07a5b093db,d2a599d6-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0690
1599cf82-ba77-11e4-8dfc-aa07a5b093db,d2a59b0c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0700
1599d680-ba77-11e4-8dfc-aa07a5b093db,d2a59db4-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0705
1599d0b8-ba77-11e4-8dfc-aa07a5b093db,d2a59efe-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0710
1599d1da-ba77-11e4-8dfc-aa07a5b093db,d2a5a02a-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0720
1599d306-ba77-11e4-8dfc-aa07a5b093db,d2a5a318-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0725
1599d432-ba77-11e4-8dfc-aa07a5b093db,d2a5a55c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0735
